,pro,con
0,extremely good benefits,nothing
1,healthcare,vs
2,pto,other jobs
3,discounts,
4,expectations,growth
5,empowerment,you
6,employee ideas,zero zero
7,new process,zero
8,we,balance
9,geniuses,execs
10,every department,years
11,we,they
12,innovative products,it
13,new product categories,actuality
14,passion,it
15,product quality,it
16,devices,top management lip service
17,great corporate culture,they
18,significant,it
19,it,they
20,that way legit support,it
21,diversity,they
22,creativity,the bank
23,internal mobility disparate teams,they
24,high degree,employee
25,autonomy,they
26,track,the right number
27,high quality products,folks
28,lots,that issue
29,sharp people,the lies
30,great products,it
31,lots,they
32,support,distributed teams
33,big energetic company,autonomy
34,credo,it
35,great company,challenge
36,you,critical objectives
37,you,growing portfolio
38,bunch,products
39,amazing people,resources
40,there,major challenge
41,the,any
42,pro,strategic hardware plans
43,apple,some products
44,apple,the attention
45,great company,they
46,they,robust development
47,care,timely delivery
48,,market opportunities
49,the college care program,some organizations
50,they,an extreme
51,they,lots
52,us,bloat
53,20 hours,most managers
54,the pay,appearances
55,the average college student,vs
56,an hourly job,the right thing
57,the company,things
58,they,it
59,free things,all the changes
60,all the time,the secretive nature
61,numerous occasions,the company
62,,times
63,package,it
64,apple,pay
65,it,lot
66,free gift,hours
67,,full time
68,,apple
69,it,there
70,the discount,nothing
71,amazing benefits,the only downside
72,great discounts,apple
73,amazing benefits,you
74,great work environment,they
75,youre,ample opportunities
76,feedback culture,coaching
77,great benefits,you
78,room,the way
79,development,you
80,environment,you
81,professionals,apple
82,all,care
83,the world,you
84,the best products,seasonal hours
85,strong diversity,favoritism
86,experience,environment
87,finance teams,promotions
88,good pay,rude customers
89,amazing benefits,erratic schedule
90,best management,tough work life balance
91,,any cons
92,good pay,mobility
93,all,lower levels
94,the same job,retail hours
95,benefits,schedule
96,full,super
97,rsus,context
98,good,
99,policy,one
100,,the
101,the health insurance,top repair technicians
102,,the top
103,it,the store
104,,repair quality
105,firsthand,the time
106,apple retail,
107,some high highs,apple
108,low lows,iphone technician
109,,
110,possible,apple
111,,mac technician
112,,certification
113,the disclaimer,97
114,there,68 questions
115,big block,70
116,text,addition
117,the,
118,,prior experience building computers
119,apple,solid grasp
120,,computers
121,me,hardware components
122,,no repercussions
123,valuable experience,it
124,it something,day
125,,the genius bar
126,career,they
127,it,personality types
128,stone,technical skill
129,this feedback,candidates
130,apple,storewide
131,genuine account,favor
132,others,more vocal candidates
133,apple,it
134,apple retail,managers
135,the sake,favorites
136,all apple employees,some managers
137,apple,they
138,,you
139,the privilege,
140,meeting people,skills
141,all kinds,attitude
142,different backgrounds,key point
143,education levels,this model
144,experiences,the person
145,,the skill
146,several,there
147,apple,sufficient training
148,me,the person
149,,functional standpoint
150,apple,
151,the,apple
152,,lackluster job
153,it,it
154,gimmick,technician training
155,quota,genius
156,it,mac technician
157,you,training
158,,two weeks
159,,the sales floor
160,,few
161,tremendous amount,that
162,personal,the service
163,you,certification assessment
164,me,week
165,,repair
166,,that point
167,myself,the new genius
168,leader,customer
169,the end,customers
170,apple,lot
171,,money
172,initiatives,the products
173,myself,lot
174,leader,money
175,resource,repairs
176,mentor,it
177,,the first computer
178,myself,technician
179,the work,paying customer
180,,addition
181,concise way,the other geniuses
182,star,no computer experience
183,sbo,the genius bar
184,,the troubleshooting process
185,people,most
186,different work styles,pattern matching
187,feedback,symptoms
188,different ways,support guides
189,the person,solutions
190,it,the youngest genius
191,,the
192,,the role
193,lot,
194,an employee,the mistakes
195,myself,some examples
196,,repair mistakes
197,mistakes,screws
198,opportunity,the wrong location
199,shared growth,antenna
200,an opportunity,battery connectors
201,blame,repair
202,it,customer
203,some,security precautions
204,the best managers,batteries
205,,esd sensitive components
206,apple,uncovered
207,these managers,hours
208,the fray,time
209,we,pin
210,they,logic
211,,board
212,the call,more
213,tough situation,customer expectations
214,us,one
215,we,customer
216,they,any faster
217,us,they
218,feedback,hdds
219,problems,the issue
220,they,the customer
221,they,the hdd
222,bat,java
223,us,javascript
224,managers,read
225,lunch break,not
226,nice people,all
227,fun,the end
228,great,
229,benefits,the issue
230,great benefits,the customer
231,great pay,faith
232,great people,the genius bar
233,good pay,
234,benefits,that
235,initial employment,the biggest issue
236,the excitement,the inconsistency
237,it,management
238,fun,the managers
239,personal,the good ones
240,you,the
241,cool place,the bad managers
242,coworkers,micromanagement
243,benefits,lack
244,you,trust
245,benefits,blatant favoritism
246,flexibility,these managers
247,people,the customer
248,wage,the store
249,good pay,the customer
250,excellent coworkers,device
251,good food,repair
252,fun environment,mac repair
253,good pay fun team,
254,atmosphere,weekdays
255,training,
256,support,
257,pay,special occasions
258,management,day
259,excellent work culture,the floor
260,individuality,nearly daily basis
261,management,
262,you,late repairs
263,flexible schedule,angry customers
264,amazing place,the store leader
265,network,the worst
266,benefits,they
267,environment,no knowledge
268,you,genius bar processes
269,college program,the technicians
270,lot,example
271,lots,customer
272,interesting people,device
273,apple,no
274,great place,sim tray
275,worker,no imei
276,the 21st century,no
277,lot,the serial reader tool
278,the skills,anything
279,other business,the phone
280,environment,the customer
281,you,the sim tray
282,any other work environment,minimum
283,competitive benefit package,proof
284,discounts,purchase
285,flexible schedule,the device
286,fun,the internal ticketing system
287,employees,the device identifier
288,competitive pay,sn
289,work schedule,there
290,flexible,no way
291,great benefits,repair
292,employee discount,replacement
293,scheduling,the device
294,great flexibility,it
295,schedule,customer service exception
296,cafe macs,the customer
297,lunch,the store leader
298,discounts,the situation
299,decent benefits,the technician
300,exposure,the phone
301,apple products,common exception
302,benefits,customer
303,educational opportunities,that
304,recognitions,there
305,amazing,no possible way
306,no,the phone
307,people,the technician
308,well,phone
309,benefits,the shelf
310,delay,it
311,the payment,the customer
312,benefits,there
313,pay,litany
314,you,issues
315,you,the customer
316,cap,the replacement
317,great benefits,this
318,pay,countless examples
319,the work,no breaks
320,flexible hours,long shifts
321,great benefits,clicky environment
322,great corporate culture,lot
323,opportunities,recognition
324,promotions,things
325,friendly environment,work
326,team,few years opportunities
327,fun place,advancement
328,yes they,sometimes lot
329,results,pressure
330,it,you
331,all the right ways,the bureaucracy
332,apple,equipment purchases
333,direct connection,hiring
334,corporate leaders,growth opportunities
335,401k,accommodation
336,stock options,location
337,discounts,open positions
338,health benefits,android
339,benefits,work
340,pay,none
341,little,
342,work life,customers
343,great benefits,scheduling
344,good pay,
345,management,better option
346,good salary,retail environment
347,good bonus,full
348,wonderful people,time
349,company,
350,amazing thinkers,rotating positions
351,nice environment,year
352,best wost,you
353,the people,store
354,it,while
355,pleasure,closing shifts
356,them,fun
357,benefits,typical corporate things
358,part time,cya
359,high quality,bit
360,good performance,times
361,pay,managers
362,great company culture,favorites
363,they,times
364,it,promotions
365,best work environment,times
366,,work life balance
367,there,retail level
368,opportunity,this
369,you,just the nature
370,that goal,the retail beast
371,culture,the other con
372,,there
373,part,quarterly bonus
374,great team,full time employees
375,people,lack
376,supporting eachother,transparency re
377,apple,salaries
378,an exciting environment,hierarchal structure
379,you,growth
380,new technology,time
381,it,benefits
382,benefits,micromanaging
383,stock,sales
384,401k,no raise
385,more,remote position
386,soft skill refinement,it
387,opportunity,company
388,self development,you
389,good place,the campus
390,the benefits,you
391,they,work life balance
392,scheduling needs,any
393,every store,low pay
394,different,very competitiveto
395,the people,it
396,you,work life balance
397,working,metrics
398,apple,new technologies
399,unique experience,errors
400,great people,many people
401,you,you
402,nice pay,those app developers
403,it,pay cap
404,retail position good company,lack
405,the pay,open positions
406,the part time hours,advancement
407,the pay,employee development
408,the part time hours,management
409,benefits,hires
410,culture,outside
411,pto,some management positions
