,pro,con
0,good workplace,no time
1,great team,rest
2,nothing,bd carefusion
3,,worst ra leadership
4,you,
5,any code,the leadership
6,all they,incompetent
7,intellectual property,bully
8,international assignment,people
9,different,high turnover
10,lot,regulatory group
11,great people,complete lack
12,friendly coworkers,direction
13,positive work environment,this crapy ra leadership
14,it,once they
15,good job environment,ip property
16,people,you
17,there,they
18,none,next job
19,non chinese people,thief
20,culture,enterprise culture
21,huawei overseas,staff management
22,hq,big company
23,competitive pay,lots
24,chance,overtime
25,one,words
26,the,an island
27,great multi,no direction
28,cultural workplace,hq
29,ambience facilities,no feedback
30,challenges,political factors
31,colleagues,it
32,paid,too much
33,many resources,office politicking
34,noah,ongoing
35,example,almost no work
36,experienced leaders,life balance
37,some,there
38,an opportunity,some engineering problems
39,top tier,the product
40,all,troubles
41,the world,robot
42,good,welfare
43,high tech,workers
44,generous,uncertainty
45,good platform,the company
46,consumer electronics company,company culture
47,the top companies,no work life balance
48,the industry,toxic culture
49,salary,everything
50,the average salary,waste
51,tech industry,time
52,any,this company
53,benefit,toxic company culture
54,that,heavyhand micromanagement
55,pay,china headquarter
56,technology,no work
57,travel,life
58,flexibility,balance
59,we,no career
60,planned work,outlook
61,team work,development
62,success,bad communication
63,yourself,management
64,many aspects,the mercy
65,the company,global politics
66,work,me
67,much pressure,cheesy guy
68,project,target
69,they,the us markets
70,the best products,upper level manager
71,the market today,not much experience
72,the whole package,managing talented people
73,bonus,communication issue
74,annual performance,chinese language
75,very good experience,mandator
76,big customers,internal systematic process
77,huawei,project management
78,the highest compensation packages,many others
79,san francisco bay area,government
80,talent,them
81,package,customers
82,great products,times
83,great technology,the payscale
84,engineers,the high end
85,world class builders,that
86,new technical ideas,everyone
87,edge technology,particular women
88,experience,the hiring
89,ambition,male gender
90,curious mind,the number
91,china,men
92,every step,engineering departments
93,the way,woman
94,market rates,the target
95,us workers,multiple times
96,advanced development,health
97,the same,the environment
98,many other software shops,teams
99,unique opportunity,each
100,someone,no reason
101,an open mind,job
102,those,deal
103,benefits,stress
104,decent amount,trouble
105,high start salary,limited positions
106,long term,usa
107,high salary,other regions
108,the only pro,different culture
109,most companies,things
110,silicon valley,bit
111,terms,once
112,base salary,the changes
113,the chance,promotions
114,good place,nil
115,things,long time
116,innovation,lack
117,smart people,vision
118,some hard problems,bureaucratic
119,good company,humbleness
120,good people,the
121,great comp package,us
122,the salary,bad actor
123,many,no evidence
124,promotion,backdoors
125,opportunities,this stigma
126,new,scrum
127,technologies,other cultures
128,good benefits,bad fit
129,fresh graduate,culture
130,fair compensation,information
131,good quality products,employees
132,nice place,anyone
133,lots,chinese
134,the right team,any given subject
135,international company,overload
136,too many employees,very little information
137,training,certain people
138,good compensation,no matter
139,great,work
140,graet,some people
141,recent graduates,way
142,team members,some way
143,good hike,too little
144,good learning,not
145,great opportunity,super
146,various industrial knowledge,amazing stuff
147,an innovation canter,any
148,many new technologies,nobody works
149,many projects,common goal
150,pression,china
151,very big company,the organization chart
152,other companies,only the
153,great pay,the management structure
154,great platform,most people
155,each,multiple managers
156,minimal politics,some
157,office,lot
158,place,brainwashing
159,work life balance,the hr team
160,good salary,videos
161,good opportunity,the world
162,high compensation,book
163,leader,some executives
164,reward,information security
165,hard working employees,restrictions
166,health care,anything
167,mobile,the management
168,pto 401k match,the company policies
169,fresh graduates,order
170,great pay huawei,the it people
171,quality products,blind eye
172,good work environment,this
173,most colleagues,some company policy
174,good company culture,all
175,transparent management,the important information
176,industry,engineering work
177,working environment,the us
178,latest,the decision making
179,interesting work,no
180,good hands,managers
181,new college grads,the skill level
182,very interesting company,most employees
183,environment,the process
184,most,personals goals
185,the time,the year
186,the people,we
187,the office,no interaction
188,good incentive,clarification
189,state,the company strategy
190,art technology,milk
191,chances,knowledge
192,new technologies,hr
193,challenging work,permanent presence
194,fun place,the younger generation
195,resources,huawei
196,good technology,the people
197,half the price,experts
198,the best opportunities,the english skills
199,edge technology projects,many
200,decent pay,the communication style
201,the us employees,the good thing
202,top companies,honest effort
203,apple,the bad thing
204,those employees,many people
205,right credit,numerous emails
206,the work,no spirit
207,no need,nobody
208,work everyday,good job
209,nobody,good ideas
210,opportunity,the attitude
211,different positions,work life balance
212,professional skills,no decision
213,about different subjects,authority
214,huawei groom employees,upto poc
215,extra work,pilot
216,the compensation,prototype
217,market,diversity
218,good pay,poor performers
219,simple job,local senior managers
220,room,other
221,creativity,no roadmap
222,strong,current
223,backing,government opinion
224,potentials,work time
225,the ability,charge
226,them,team
227,great food,project
228,retention payouts,negative press
229,the project,the products
230,respect,fcc
231,edge,huawei products
232,formidable competitor,resources
233,dedicated staff,certain type
234,management,employer
235,the industry average,the employee
236,this high pay,treat
237,sign pay,thing
238,large global company,he
239,hardware,another one
240,good team leader,employee
241,more opportunities,business
242,products,no career improvement path
243,bonuses,no professional growth
244,world class technology,no salary reviews
245,the best engineering,work schedule
246,structured projects,workload
247,driven work force,very
248,good starting salary,environment
249,work environment,no clear goal
250,minimal drama,work load
251,good benefit,many meetings
252,fresher,company
253,end,no social care
254,product,the employees
255,no,sale anything
256,pros,kind
257,big company,havie
258,many products,certain products
259,very strong provider,the strategy
260,telecommunications,months
261,flexible working conditions,partners
262,managers,many cons
263,friendly,this job
264,coworkers,tedious work
265,benefit package,everything else
266,the best,training
267,global exposure,benefits
268,telecom industry,chinese company
269,competitors,inflexible work hour
270,core piece,pressure
271,cloud technology,lof
272,conferences,politics
273,the latest,performance appraisals
274,china number,leadership
275,times,no power
276,this,challenges
277,stable growth,telecommunication industry
278,the market,new technology solution
279,early days,dont
280,huawei usa,any cons
281,flat organization,hq team
282,good team spirit,night
283,new player,zero
284,us,late nights
285,business development,nothing
286,challenge close interaction,ez
287,solid company,american rep office
288,good financials,aro
289,company,local office
290,employees,pawns
291,competitive compensation,messengers job description
292,different things,career
293,recondition,filler
294,great contribution,no plan
295,good bonus package,useless meetings
296,recognized contributors,front
297,good opportunities,expats
298,health benefit,political move
299,location,some kind
300,plano,representation usa
301,office cube,run
302,experienced folks,year period
303,cisco,week
304,bucks,hours
305,every piece info,detailed technical planning
306,good entry,put engineers
307,level,local manager
308,nice products,management experience
309,global company,little direct involvement
310,an impressive growth,the product development
311,every year,the market
312,nice people,retail sales contracts
313,huge investment,american carriers
314,future technology,this team
315,everyone,kittens
316,new idea,no backbone
317,nice pay,result
318,acceptable pressure,political pressure
319,some free time,valuable advice
320,pressure,seasoned professionals
321,international employees,low budget
322,great benefits,advancement
323,nice desk,good technology
324,clean windows,half the price
325,yep,chinese army
326,initial salary,global chinese company
327,young people,an international company
328,rapid growth,management practices
329,importance,localization
330,new ideas,struggle
331,standard reasonable market range,no innovation
332,different kinds,no leadership
333,equality,no integrity
334,employee,the china staff
335,market pay,china controls
336,the beginning,the benefits
337,good bonus,us companies
338,no drama,the place
339,very collaborative environment,no visibility
340,access,hq decision makers
341,variety,no interest
342,the last years,local talents
343,excellent,high pressure
344,many challenges,high demand
345,any position,no improvement
346,us market,the same position
347,career path,much time teaching
348,benefit sharing,solution help
349,improvement,other technologies
350,responsibilities,organization
351,hr,poor management
352,networking,poor work balance
353,telecommunication,no benefit
354,awesome experience living,no outlook
355,great working environment,chines staff
356,eager,difficult time
357,decent,overseas colleagues
358,compensation,the work
359,great flexibility,trust
360,great environment,oversea employees
361,income,the ability
362,working years,poor communications
363,level client groups,collaboration
364,great exposure,teamwork
365,decent salary,this culture
366,newly grads,wolf culture
367,condition,cheating
368,friendly people,intellectual property
369,new solutions,designs
370,solution,one
371,start,another
372,friendly chinese culture,or
373,corporate usa,high level
374,,us employees
375,,us intellectual property
376,,case
377,,an interview
378,,the jobs
379,,job loss
380,,product design
381,,900
382,,300
383,,250 openings
384,,the math
385,,this horrible company
386,,chinese management
387,,panic mode
388,,experienced advice
389,,none
390,,none none none none
391,,bureaucracy
392,,not value employee health
393,,wellbeing
394,,the japan nuclear disaster
395,,fukushima daiichi
396,,radio
397,,powerpoint slides
398,,solar
399,,the customer
400,,this concept
401,,someone
402,,huawie
403,,several emails
404,,the final email
405,,hr rules
406,,vacation
407,,maternity
408,,leave
409,,etc
410,,the phone
411,,the senior management
412,,negative way
413,,no dedication
414,,no advertising
415,,preference
416,,china origin employees
417,,us citizens
418,,time difference
419,,major problem
420,,heavy hand
421,,no us
422,,strategy
423,,us management
424,,mere figureheads
425,,career paths
426,,existent
427,,typical
428,,trusts
429,,values customer relationships
430,,100
431,,low amount
432,,facilities
433,,company cars
434,,meetings
435,,overtime not
436,,terrible services
437,,females
438,,the prayer room
439,,storage room
440,,development plan
441,,management positions
442,,no common sense
443,,most
444,,the defects
445,,honesty
446,,hostile environment
447,,an expat
448,,the congress
449,,this place
450,,the account
451,,another vendor
452,,bad culture
453,,tough environment
454,,fins
455,,any downside
456,,respect
457,,contractors
458,,plans
459,,engineers
460,,secretive
461,,small group
462,,ceo
463,,no western leadership
464,,the top tier
465,,decision making
466,,much room
467,,limited mobility
468,,an
469,,the cfo
470,,no knowledge
471,,market
472,,no flexbility
473,,great pain
474,,local financial professionals
475,,him
476,,much work load
477,,the fact
478,,headquarter
479,,all the decisions
480,,different working promotion methods
481,,huawei china
482,,some issues
483,,research centers
484,,work environment
485,,communication
486,,managment
487,,language barriers
488,,high competition
489,,not enough work
490,,department directors
491,,hq changes
492,,changes
493,,every
494,,heavy workload
495,,business hours
496,,appraisal
497,,relationships
498,,upper mgmt
499,,which
500,,all expat
501,,every years
502,,little life work balance
503,,bad work
504,,unnecessary approvals
505,,literally everything
506,,the hq
507,,regional office
508,,challenge
509,,only one thing
510,,language issues
511,,the enterprise business
512,,america
513,,peoples
514,,part
515,,the sales team
516,,the comp plan
517,,comission
518,,no training
519,,no guidance
520,,traveling
521,,joke
522,,meals
523,,day
524,,hotels
525,,some nights
526,,motel6
527,,coffee
528,,water
529,,the office
530,,3rd world country
531,,center
532,,the phones
533,,sales
534,,all the
535,,shouting
536,,one month
537,,turn
538,,numerious occasions
539,,futurewei santa clara
540,,chinese american engineers
541,,85
542,,workforce
543,,most conversations
544,,cultural
545,,all decisions
546,,mainland headquarters
547,,no products
548,,north america
549,,follower behavior
550,,all programs
551,,years
552,,all documents
553,,all design flows
554,,first mantra
555,,access
556,,silicon valley
557,,no projects
558,,only chinese engineers
559,,all employees
560,,all projects
561,,china teams
562,,thet
563,,no information
564,,requirements
565,,systems
566,,nightly meetings
567,,mainland staff
568,,frequent trips
569,,mainland
570,,the norm
571,,medical
572,,the language
573,,severe disadvantage
574,,constant turnover
575,,staff
576,,missions
577,,long term
578,,constant project justification
579,,status
580,,attention
581,,personal career path
582,,bonus
583,,personal income
584,,many ad
585,,hoc
586,,assignments
587,,given time
588,,women
589,,no eaqual opportunity
590,,non chinese
591,,different projects
592,,all the time
593,,raise
594,,the beginning
595,,the bonus
596,,last year
597,,previous year
598,,one department
599,,not good team player
600,,the manager
601,,other team member projects
602,,daily base
603,,very little structure
604,,ambiguity
605,,the top
606,,middle management
607,,orders
608,,internal communication
609,,issues
610,,very long processes
611,,global company
612,,procedures
613,,the things
614,,much
615,,the near future
616,,extraordinary number
617,,middle level managers
618,,relationship
619,,huge workload
620,,many tiresome procedures
621,,the organization culture
622,,staffs
623,,human being
624,,just small part
625,,huge machine
626,,h1b
627,,history
628,,the project
629,,gc
630,,only reason
631,,the market compensation levels
632,,reasons
633,,many companies
634,,technical discussion
635,,project plan
636,,multiple resources
637,,then they
638,,the resource
639,,the project plan
640,,wrong directions
641,,favor
642,,5x
643,,chinese employees
644,,no effort estimate
645,,the items
646,,days
647,,an unrealistic schedule
648,,this documentation
649,,legal purposes
650,,power
651,,most decisions
652,,china hq
653,,bug
654,,the hierarchy
655,,some thing
656,,manager
657,,an employee
658,,poor infrastructure
659,,infrastructure
660,,resource
661,,much restriction
662,,documents
663,,loss
664,,productivity
665,,zero training
666,,training sessions
667,,no training videos
668,,poor documentation
669,,even zero discussion
670,,competition
671,,china folks
672,,folks
673,,vice
674,,no one
675,,communication problem
676,,time zone issues
677,,pm
678,,practically zero female engineers
679,,10
680,,cafeteria
681,,food
682,,just language barriers
683,,expectations
684,,traditional western cultures
685,,corporate culture
686,,career path
687,,heavy duty tasks
688,,care
689,,family time balance
690,,yesterday
691,,not very good work life
692,,all kpi
693,,performance evaluation
694,,work ethics
695,,home
696,,mentoring skills
