,pro,con
0,benefits,cons
1,culture,some
2,pay,management
3,people,brand
4,,many years
5,you,market share
6,tech,the front end
7,this,innovation
8,great place,the fact
9,no doubt,there
10,you,msft
11,tech,more
12,mostly the msft,you
13,enterprise,this
14,consumer,it
15,pcs,double that
16,phones,vendors
17,xboxes,it
18,datacenter,the company
19,desktop,an advocate
20,,you
21,what,they
22,benefits,the
23,small step,rank
24,you,every year
25,99,the
26,large corporations,rank
27,you,the 2012 vanity
28,family,fair article
29,the value,microsoft
30,the benefits,decade
31,401k match,any
32,,the organization
33,it,way
34,struggles,many product managers
35,msft,there
36,cash printing machine,enough thought
37,this,long term investments
38,you,everything
39,reasonable work,workable technology
40,you,it
41,stable job,an experiment
42,too much,you
43,layoffs,technologies
44,the stock,prime time
45,you,there
46,tank,some empire building
47,you,support engineering
48,bonus,this company
49,each year,care
50,some stock,employees
51,it,18 moth rule
52,decent life,month
53,you,all kinds
54,the world,an asset
55,fire,me
56,the pay,there
57,benefits,no cons
58,culture,
59,ability,they
60,the company,cons
61,massive billion,teams
62,dollar worldwide technology,some people
63,there,compensation
64,money,any
65,fund programs,large
66,other companies,some silo behavior
67,they,the top
68,massive influence,compensation
69,vendors,product mindset
70,flexibility,too much structure
71,growth,policital alignment
72,accessibility,sponsor
73,peers,tongrow
74,environment,
75,hours,any cons
76,benefits,slow career growth
77,tons,the wrong group
78,new products,everything
79,just 18 months,relatively
80,good company,bit
81,anyone,rsus
82,good benefits,competitors
83,management,hours
84,very good company,full time opportunities
85,excellent benefits,they
86,competitive work,the only microsoft store
87,great people,wisconsin
88,good team environment,management
89,good work place,numbers
90,wide range,time
91,opportunities,another downside
92,overall compensation,it
93,resources,engineers
94,flexibility,the day
95,good culture,faster
96,benefits,management
97,good money,numbers
98,rewards,time
99,this company,another downside
100,good place,it
101,culture,engineers
102,great company,the day
103,great work life balance,faster
104,great perks,lower salary
105,the best companies,the
106,this,other big tech
107,the best company,services
108,,the processes
109,an amazing experience,sales
110,part time product advisor,the smallest
111,,tasks
112,full time benefits,
113,health care,client meeting
114,sick time,lot
115,vacation time,time
116,top,internal trainings
117,they,forms
118,me,management
119,school,turnover
120,all,lot
121,all this,unpredictable leadership
122,wonderful place,very bureaucratic
123,the store,higher levels
124,,corporate politics
125,family,too many project
126,we,managers
127,team,slow
128,work life balance,silos
129,the ability,people
130,home,ownership
131,work life balance,problem
132,the ability,total comp
133,home,stock
134,great company,it
135,high values,rewards
136,great work life balance,bonuses
137,great benefits,different roles
138,market leader,different incentives
139,the board,the same goal
140,great people,lots
141,culture,heavy
142,good benefits,travel
143,pro,nothing
144,club,this job role
145,transportation,
146,great ceo,any cons
147,big focus,work
148,azure,work
149,huge,high pressure
150,work life balance,high stress
151,work,most management decisions
152,vast resources,gut reactions
153,different things,parity
154,work,the competition
155,life,performance review
156,balance,ranking
157,good culture,we
158,lots,people
